"","id","condition","strategy"
"1",2,"ll","Attempt 2 fusions if I found one I would extract that one over and over. If I didnt find a fusion I would extract a basic one over and over."
"2",3,"hl","find as many methods as possible and maximise your winnings"
"3",4,"hh","using the two most recent combinations together and fusing when i got near the end"
"4",5,"lh","to start at a and go along to see if it fused at all if it didnt i just extracted what i could"
"5",6,"lh","i tried to get a first fusion then another. if by try 6 i had no first fusion i extracted what i could for points."
"6",7,"hl","Once I worked it out I tried to fuse to crystals first to maximize the amount I could extract "
"7",8,"lh","After a few failed fusesone fuse just extract for the rest"
"8",9,"ll","Get an early second level fusion then extract that for more than double a single level extraction. if I reach 5 fails extract highest level crystal."
"9",10,"lh","have a couple of goes at extraction max"
"10",11,"lh","Attempt to fuse crystals at first and after 3 tries and you cannot seem to find a pair then extract individual ones. "
"11",12,"hh","Fuse for a few rounds then profit take"
"12",13,"lh","I tried to fuse the fastest so I could earn the most"
"13",14,"hh","Try to make as many higher-point crystals as possible and then try to fuse with them to extract a higher amount of points. "
"14",15,"ll","Try and get a fuse early and then extract over and over."
"15",16,"lh","Went alphabet by alphabet testing if they match to make more points"
"16",17,"hl","Balancing fusing against extracting"
"17",18,"lh","guessing"
"18",19,"hh","Maximise output before extracting"
"19",20,"hl","At first i tried to see what the base was with just extracting a single crystal 10 times.  Then I worked out that the combinations gave the highest amount if i could get to 508."
"20",21,"hh","No real strategies! I was just trying to get my fusing combinations as high as I could really although not without losing too many points. Only  a couple rounds really where it didnt quite pay off!"
"21",22,"lh","Try to gain one successful fuse in the first 2-4 clicks and then extract the fused crystal as much as possible"
"22",23,"lh","i was guessing"
"23",24,"lh","I tried to limit how many attempts at fusing I made to 5 just in case nothing worked."
"24",25,"lh","I randomly tried fusing until I had 3 energy left or until I successfully fused."
"25",26,"hl","trying to get higher combos and extract"
"26",27,"ll","Usually try to get 1 fusion and then extract as many times as possible"
"27",28,"lh","I just kept on trying to click combinations once I realized I was likely not to get a fusion within 10 attempts I would just click on the individual crystals so I could at least get some points."
"28",29,"lh","Attempt to fuse one combo and then extract that combo."
"29",30,"hl","tried to stick with the same strategy of starting with a then fusing with the previous fusion "
"30",31,"ll","5 fuses then 5 extracts"
"31",32,"hl","A little trial and error and took a while to get it but trying to build big crystal and then extract it enough times"
"32",33,"hh","try and duplicate the crystal with the most value first and if that doesnt work try fusing it with the next most valuable"
"33",34,"ll","accumulate points with Extract then make 2 or 3 FUSE attempts"
"34",35,"hl","fuse the previous with the new crystal "
"35",36,"hh","Try to fuse a baseline of 2-4 9p options and then try different permutations of fusing these to try and get the highest possible total whilst keeping in mind the total number of machine uses yet"
"36",37,"ll","Fuse for a crystal with a higher energy point then try and fuse that higher energy point crystal again to an even higher energy point crystal then extract the highest energy point crystal until all actions are used."
"37",38,"hl","random fusing up to 5 times"
"38",39,"ll","Maximise payout by first gambling then opting for the safe bet after a few tries"
"39",40,"hl","I spent 5 uses fusing then the remaining 5 collecting."
"40",41,"ll","As fusion rate was so low I decided it was better to use each turn to get some points"
"41",42,"ll","click and hope for the best:P no methodolgy used apart from 5 tries then bank best amount"
"42",43,"ll","Tried to combine and extract and repeat"
"43",44,"hh","Try and fuse crystals to get a more valuable one "
"44",45,"hl","start with A-A fuse. then add aaa then aaab then aaabc etc until 2500 pts per extract. if 3 fails in a row then i just submitted 150 at a time."
"45",46,"lh","Get as high as possible"
"46",47,"lh","I took the approach of fusing until I had 3 uses of the machine left then extracted for those 3."
"47",48,"hh","After a certain score I would just extract instead of fusing that might fail."
"48",49,"lh","To try and fuse early and then extract. I though I could only extract each jewel once so I missed out on gaining more energy."
"49",50,"lh","If I didnt get any fusions before I hit 5 attempts then I would just extract."
"50",51,"ll","Risk a little but not too much"
"51",52,"hl","Just adding up combos with the highest points"
"52",53,"hl","I tried to get the numbers up and then extract them but it didnt always work."
"53",54,"hh","To create multiple fusions to extract for more points"
"54",55,"ll","I tried to find a combinations of the letters"
"55",56,"hh","to fuse as much as possible"
"56",57,"lh","Always extract all 6 crystals to maximize your points and then try some combinations of fuses and if successful extract them."
"57",58,"lh","I started off trying to fuse and if there was not progress I would try and just accumulate some value."
"58",59,"lh","Tended to favour adjacent letters to start. As soon as got a successful fusion used that as a base"
"59",60,"hl","Trying different combinations till I got a bigger number then extract the bigger numbers."
"60",61,"hh","I fused nine times while keeping count in my head of how many times I had fused as I feel that fusing as many times as possible will give the biggest payout."
"61",62,"ll","To keep extracting for points."
"62",63,"lh","Tried to risk by looking to fuse without getting greedy."
"63",64,"hh","Multiplying the highest numbers possible to get the highest reward"
"64",65,"hl","To keep an eye on how many failed outcomes remained"
"65",66,"lh","Just trying to find two fusions"
"66",67,"ll","attempt early combinations sequentially then if on the last few tries switch to repeatedly banking the highest available"
"67",68,"hl","Try to get to 500xp with at least 4 goâ€™s left to get minimum 2000 xp"
"68",69,"lh","It is easier to not attempt to find the matches"
"69",70,"ll","Just guessing really"
"70",71,"lh","I tried fusing blocks together to start in the hope of generating higher value blocks while keeping an eye on the turns so that I always ended up with some points."
"71",72,"hh","Seeing if I had enough chances to fuse crystals before fusing them."
"72",73,"hh","I was conservative for the first few trials and didnt experiment with fusing much. Later I when I tried fusing more I learned I could usually get it up to 81 points without too many failed fuses so I tried for that each trial after. "
"73",74,"hh","Trying to fuse to get more points."
"74",75,"ll","Didnt really have. Allowed myself to play to see what came out."
"75",76,"ll","I just tried to work through the possibilities in order. Ill admit this was probably not the best way to earn points but I wasnt sure what other strategies to use."
