"","id","date","time","condition","age","sex","instruction","total_score","task_duration","engagement","difficulty","strategy","feedback","token","start_time"
"1",2,"2023_12_15","03_13_22","ll",24,"male",4,29500,214286,6,3,"Attempt 2 fusions if I found one I would extract that one over and over. If I didnt find a fusion I would extract a basic one over and over.","NA","S4HYMZPS",1702480127503
"2",3,"2023_12_14","16_16_51","hl",41,"male",2,17228,264606,10,5,"find as many methods as possible and maximise your winnings","","0CM477LW",1702480285969
"3",4,"2023_12_15","03_17_42","hh",26,"female",4,11100,347913,8,7,"using the two most recent combinations together and fusing when i got near the end","no","AWS964QR",1702480253360
"4",5,"2023_12_14","16_19_31","lh",37,"female",1,18300,380613,10,0,"to start at a and go along to see if it fused at all if it didnt i just extracted what i could","it was fun but short","AHDZZ9FK",1702480329420
"5",6,"2023_12_14","11_19_58","lh",25,"female",1,18600,340099,8,4,"i tried to get a first fusion then another. if by try 6 i had no first fusion i extracted what i could for points.","was fun!","ZQH520V3",1702480397186
"6",7,"2023_12_14","17_21_11","hl",51,"male",3,12300,311289,5,1,"Once I worked it out I tried to fuse to crystals first to maximize the amount I could extract ","","JI5URIJX",1702480498890
"7",8,"2023_12_14","16_21_59","lh",22,"female",3,10050,369222,9,1,"After a few failed fusesone fuse just extract for the rest","","XYG4Y827",1702480488849
"8",9,"2023_12_14","16_22_10","ll",27,"male",2,34500,264978,9,3,"Get an early second level fusion then extract that for more than double a single level extraction. if I reach 5 fails extract highest level crystal.","None","Y128RMQ4",1702480604902
"9",10,"2023_12_14","16_25_58","lh",56,"female",1,9900,267871,10,2,"have a couple of goes at extraction max","","ETSHSYIB",1702480829996
"10",11,"2023_12_14","16_27_11","lh",20,"female",1,16800,300740,10,1,"Attempt to fuse crystals at first and after 3 tries and you cannot seem to find a pair then extract individual ones. ","No negative comments! I found it to be very fun. Nice to do a different type of survey for a change!","0CI601HI",1702480869353
"11",12,"2023_12_14","16_27_35","hh",40,"male",1,1827,222125,10,5,"Fuse for a few rounds then profit take","Cool","XWP89VBJ",1702480972417
"12",13,"2023_12_14","16_28_39","lh",22,"female",1,15900,190942,8,3,"I tried to fuse the fastest so I could earn the most","","IIWR9YOF",1702481067455
"13",14,"2023_12_14","11_28_45","hh",30,"female",1,6750,721725,8,2,"Try to make as many higher-point crystals as possible and then try to fuse with them to extract a higher amount of points. ","Really interesting experiment!","1X619HT7",1702480542917
"14",15,"2023_12_14","16_29_08","ll",29,"male",1,23250,324320,10,5,"Try and get a fuse early and then extract over and over.","","1F4KVD4D",1702480963454
"15",16,"2023_12_14","18_29_10","lh",33,"female",2,15750,391946,10,5,"Went alphabet by alphabet testing if they match to make more points","No","0VMH04S0",1702480897772
"16",17,"2023_12_14","16_29_25","hl",34,"female",1,7800,423058,10,1,"Balancing fusing against extracting","Nope","ENV2LF37",1702480881765
"17",18,"2023_12_14","16_30_47","lh",35,"male",3,22950,315865,9,6,"guessing","none","5L4D10J7",1702481070399
"18",19,"2023_12_14","16_31_05","hh",35,"female",2,14175,291060,10,3,"Maximise output before extracting","No","KG52OE84",1702481113670
"19",20,"2023_12_14","09_32_23","hl",44,"male",2,21273,327435,10,0,"At first i tried to see what the base was with just extracting a single crystal 10 times.  Then I worked out that the combinations gave the highest amount if i could get to 508.","it was a fun test to see what the outcomes would be","IFDSVQBE",1702481155334
