"","prolific_id","date","time","assignment","age","sex","instruction","total_score","task_duration","engagement","difficulty","strategy","feedback","token","start_time"
"1","6518281be94831275dd1a9d0","2023_12_15","03_13_22","bll","24","male",4,29500,214286,"6","3","Attempt 2 fusions if I found one I would extract that one over and over. If I didnt find a fusion I would extract a basic one over and over.","NA","S4HYMZPS",1702480127503
"2","5c955b0b4f7c360016682425","2023_12_14","16_16_51","bhl","41","male",2,17228,264606,"10","5","find as many methods as possible and maximise your winnings","","0CM477LW",1702480285969
"3","5b991099d78992000184033b","2023_12_15","03_17_42","bhh","26","female",4,11100,347913,"8","7","using the two most recent combinations together and fusing when i got near the end","no","AWS964QR",1702480253360
"4","58d3d69a47aa1e00010476f4","2023_12_14","16_19_31","blh","37","female",1,18300,380613,"10","0","to start at a and go along to see if it fused at all if it didnt i just extracted what i could","it was fun but short","AHDZZ9FK",1702480329420
"5","5d3112122401af0018ba2919","2023_12_14","11_19_58","blh","25","female",1,18600,340099,"8","4","i tried to get a first fusion then another. if by try 6 i had no first fusion i extracted what i could for points.","was fun!","ZQH520V3",1702480397186
"6","60d1a0e2551b5660575cdd64","2023_12_14","17_21_11","bhl","51","male",3,12300,311289,"5","1","Once I worked it out I tried to fuse to crystals first to maximize the amount I could extract ","","JI5URIJX",1702480498890
"7","60fd4f8bcf203e8452b79f1a","2023_12_14","16_21_59","blh","1822","female",3,10050,369222,"9","1","After a few failed fusesone fuse just extract for the rest","","XYG4Y827",1702480488849
"8","61044fcb640e0def77785661","2023_12_14","16_22_10","bll","27","male",2,34500,264978,"9","3","Get an early second level fusion then extract that for more than double a single level extraction. if I reach 5 fails extract highest level crystal.","None","Y128RMQ4",1702480604902
"9","60b93dbc8ff56ba91e07c174","2023_12_14","16_25_58","blh","56","female",1,9900,267871,"10","2","have a couple of goes at extraction max","","ETSHSYIB",1702480829996
"10","60bab50bcdd5d7ad3ee97479","2023_12_14","16_27_11","blh","20","female",1,16800,300740,"10","1","Attempt to fuse crystals at first and after 3 tries and you cannot seem to find a pair then extract individual ones. ","No negative comments! I found it to be very fun. Nice to do a different type of survey for a change!","0CI601HI",1702480869353
"11","62cd6fa42b0e6cf377b28655","2023_12_14","16_27_35","bhh","40","male",1,1827,222125,"10","5","Fuse for a few rounds then profit take","Cool","XWP89VBJ",1702480972417
"12","5ea954a1550e7902833cece8","2023_12_14","16_28_39","blh","22","female",1,15900,190942,"8","3","I tried to fuse the fastest so I could earn the most","","IIWR9YOF",1702481067455
"13","5dbe53f381091a3500a06508","2023_12_14","11_28_45","bhh","30","female",1,6750,721725,"8","2","Try to make as many higher-point crystals as possible and then try to fuse with them to extract a higher amount of points. ","Really interesting experiment!","1X619HT7",1702480542917
"14","63d4079b9f81c5da3433f4b8","2023_12_14","16_29_08","bll","29","male",1,23250,324320,"10","5","Try and get a fuse early and then extract over and over.","","1F4KVD4D",1702480963454
"15","5fa879d9f68b9371d90c3aa3","2023_12_14","18_29_10","blh","33","female",2,15750,391946,"10","5","Went alphabet by alphabet testing if they match to make more points","No","0VMH04S0",1702480897772
"16","611107eaa48093e17e7e56d2","2023_12_14","16_29_25","bhl","34","female",1,7800,423058,"10","1","Balancing fusing against extracting","Nope","ENV2LF37",1702480881765
"17","5f1301b0bbe07d00090dd94a","2023_12_14","16_30_47","blh","35","male",3,22950,315865,"9","6","guessing","none","5L4D10J7",1702481070399
"18","613f2fddaba8ab6b7099670d","2023_12_14","16_31_05","bhh","35","female",2,14175,291060,"10","3","Maximise output before extracting","No","KG52OE84",1702481113670
"19","652014e14d30bf0b7a862a60","2023_12_14","09_32_23","bhl","44","male",2,21273,327435,"10","0","At first i tried to see what the base was with just extracting a single crystal 10 times.  Then I worked out that the combinations gave the highest amount if i could get to 508.","it was a fun test to see what the outcomes would be","IFDSVQBE",1702481155334
"20","614e34945dfd7dfcc9012760","2023_12_15","05_32_30","bhh","45","male",2,19845,824547,"10","5","No real strategies! I was just trying to get my fusing combinations as high as I could really although not without losing too many points. Only  a couple rounds really where it didnt quite pay off!","Interesting exercise!","286ZC5SW",1702480664768
"21","65182cdf49dd0f33aaf0cfd1","2023_12_14","16_32_32","blh","34","male",4,14250,294177,"8","4","Try to gain one successful fuse in the first 2-4 clicks and then extract the fused crystal as much as possible","","AMSQ5YR2",1702481197316
"22","59d9cea2e2762800015eb791","2023_12_14","16_32_43","blh","51","female",1,9000,264181,"10","6","i was guessing","no","46ZFLQME",1702481238426
"23","613231c7b264c7a16314d253","2023_12_14","16_32_46","blh","30","male",2,20100,334323,"9","4","I tried to limit how many attempts at fusing I made to 5 just in case nothing worked.","","CY60PQZE",1702481171545
"24","5e11a7d6feea8982dba1e61c","2023_12_14","16_33_09","blh","34","other",1,11850,270185,"8","10","I randomly tried fusing until I had 3 energy left or until I successfully fused.","It was fun!","PSABWNTC",1702481258663
"25","652fed9516b0990c27dd6b89","2023_12_15","03_33_13","bhl","27","male",7,14656,357500,"7","5","trying to get higher combos and extract","","SGDU60PM",1702481175480
"26","6400d9d7829f8ed06ac31552","2023_12_14","16_33_14","bll","22","male",2,35000,147516,"8","2","Usually try to get 1 fusion and then extract as many times as possible","","LYT1D9X1",1702481386276
