"","id","task","step","condition","known","p","item_selection","action","feedback","immediate_score","total_score","task_sec"
"1",2,1,1,"ll",0,0.2,"c-e","F","0",0,0,62.275
"2",2,1,2,"ll",0,0.2,"b-f","F","0",0,0,69.673
"3",2,1,3,"ll",0,0.2,"a","E","NA",500,500,71.488
"4",2,1,4,"ll",0,0.2,"a","E","NA",500,1000,72.266
"5",2,1,5,"ll",0,0.2,"a","E","NA",500,1500,73.043
"6",2,1,6,"ll",0,0.2,"a","E","NA",500,2000,73.697
"7",2,1,7,"ll",0,0.2,"a","E","NA",500,2500,74.282
"8",2,1,8,"ll",0,0.2,"a","E","NA",500,3000,74.883
"9",2,1,9,"ll",0,0.2,"a","E","NA",500,3500,76.203
"10",2,1,10,"ll",0,0.2,"a","E","NA",500,4000,76.791
"11",2,2,1,"ll",0,0.2,"b-d","F","0",0,0,80.846
"12",2,2,2,"ll",0,0.2,"a-e","F","0",0,0,82.756
"13",2,2,3,"ll",0,0.2,"a","E","NA",500,500,84.046
"14",2,2,4,"ll",0,0.2,"a","E","NA",500,1000,84.583
"15",2,2,5,"ll",0,0.2,"a","E","NA",500,1500,85.15
"16",2,2,6,"ll",0,0.2,"a","E","NA",500,2000,85.707
"17",2,2,7,"ll",0,0.2,"a","E","NA",500,2500,86.291
"18",2,2,8,"ll",0,0.2,"a","E","NA",500,3000,86.825
"19",2,2,9,"ll",0,0.2,"a","E","NA",500,3500,87.383
"20",2,2,10,"ll",0,0.2,"a","E","NA",500,4000,87.937
"21",2,3,1,"ll",0,0.2,"b-e","F","0",0,0,91.645
"22",2,3,2,"ll",0,0.2,"d-f","F","1",0,0,93.662
"23",2,3,3,"ll",0,0.2,"[df]","E","NA",750,750,95.633
"24",2,3,4,"ll",0,0.2,"[df]","E","NA",750,1500,96.455
"25",2,3,5,"ll",0,0.2,"[df]","E","NA",750,2250,97.211
"26",2,3,6,"ll",0,0.2,"[df]","E","NA",750,3000,98.034
"27",2,3,7,"ll",0,0.2,"[df]","E","NA",750,3750,98.764
"28",2,3,8,"ll",0,0.2,"[df]","E","NA",750,4500,99.475
"29",2,3,9,"ll",0,0.2,"[df]","E","NA",750,5250,100.286
"30",2,3,10,"ll",0,0.2,"[df]","E","NA",750,6000,101.095
"31",2,4,1,"ll",0,0.2,"c-f","F","0",0,0,104.477
"32",2,4,2,"ll",0,0.2,"b-c","F","0",0,0,106.27
"33",2,4,3,"ll",0,0.2,"a-e","F","0",0,0,108.579
"34",2,4,4,"ll",0,0.2,"b","E","NA",500,500,110.582
"35",2,4,5,"ll",0,0.2,"b","E","NA",500,1000,111.036
"36",2,4,6,"ll",0,0.2,"b","E","NA",500,1500,111.501
"37",2,4,7,"ll",0,0.2,"b","E","NA",500,2000,111.947
"38",2,4,8,"ll",0,0.2,"b","E","NA",500,2500,112.401
"39",2,4,9,"ll",0,0.2,"b","E","NA",500,3000,112.868
"40",2,4,10,"ll",0,0.2,"b","E","NA",500,3500,113.355
"41",2,5,1,"ll",0,0.2,"c-f","F","0",0,0,116.863
"42",2,5,2,"ll",0,0.2,"c-e","F","0",0,0,118.469
"43",2,5,3,"ll",0,0.2,"b","E","NA",500,500,119.548
"44",2,5,4,"ll",0,0.2,"b","E","NA",500,1000,120.003
"45",2,5,5,"ll",0,0.2,"b","E","NA",500,1500,120.457
"46",2,5,6,"ll",0,0.2,"b","E","NA",500,2000,121.223
"47",2,5,7,"ll",0,0.2,"b","E","NA",500,2500,121.698
"48",2,5,8,"ll",0,0.2,"b","E","NA",500,3000,122.155
"49",2,5,9,"ll",0,0.2,"b","E","NA",500,3500,122.625
"50",2,5,10,"ll",0,0.2,"b","E","NA",500,4000,123.143
"51",2,6,1,"ll",0,0.2,"b-d","F","0",0,0,126.496
"52",2,6,2,"ll",0,0.2,"a-d","F","0",0,0,128.617
"53",2,6,3,"ll",0,0.2,"c","E","NA",500,500,129.542
"54",2,6,4,"ll",0,0.2,"c","E","NA",500,1000,130.03
"55",2,6,5,"ll",0,0.2,"c","E","NA",500,1500,130.525
"56",2,6,6,"ll",0,0.2,"c","E","NA",500,2000,130.998
"57",2,6,7,"ll",0,0.2,"c","E","NA",500,2500,131.516
"58",2,6,8,"ll",0,0.2,"c","E","NA",500,3000,132.03
"59",2,6,9,"ll",0,0.2,"c","E","NA",500,3500,132.517
"60",2,6,10,"ll",0,0.2,"c","E","NA",500,4000,133.014
"61",2,7,1,"ll",0,0.2,"b-e","F","0",0,0,135.962
"62",2,7,2,"ll",0,0.2,"c-f","F","0",0,0,137.963
"63",2,7,3,"ll",0,0.2,"a","E","NA",500,500,139.58
"64",2,7,4,"ll",0,0.2,"b","E","NA",500,1000,140.015
"65",2,7,5,"ll",0,0.2,"b","E","NA",500,1500,140.44
"66",2,7,6,"ll",0,0.2,"b","E","NA",500,2000,140.921
"67",2,7,7,"ll",0,0.2,"b","E","NA",500,2500,142.126
"68",2,7,8,"ll",0,0.2,"b","E","NA",500,3000,142.595
