Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6579c807fc030088f14ce32c,6518281be94831275dd1a9d0,APPROVED,2023-12-13T15:04:47.027000Z,2023-12-13T15:12:28.316000Z,2023-12-13T20:19:06.053000Z,2023-12-13T15:12:28.844600Z,462.0,CWWHERKO,36,English,English,24,Male,White,Australia,Australia,Australia,English,No,Unemployed (and job seeking)
6579c81805adea30dca2b8ec,5b991099d78992000184033b,APPROVED,2023-12-13T15:05:03.053000Z,2023-12-13T15:16:51.538000Z,2023-12-13T20:19:06.382000Z,2023-12-13T15:16:51.981506Z,709.0,CWWHERKO,434,English,English,26,Female,Other,Australia,Australia,Australia,English,No,Full-Time
6579c82198ce8bcd214ce1f0,60d1a0e2551b5660575cdd64,APPROVED,2023-12-13T15:05:05.655000Z,2023-12-13T15:20:24.569000Z,2023-12-13T20:19:06.580000Z,2023-12-13T15:20:24.981941Z,919.0,CWWHERKO,616,English,English,51,Male,White,United Kingdom,Spain,United Kingdom,English,No,Full-Time
6579c85a41dd4c2bba718222,58d3d69a47aa1e00010476f4,APPROVED,2023-12-13T15:06:07.766000Z,2023-12-13T15:18:55.890000Z,2023-12-13T20:19:06.791000Z,2023-12-13T15:18:56.473831Z,769.0,CWWHERKO,1054,English,English,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6579c86b1a6a7e24def84525,5c955b0b4f7c360016682425,APPROVED,2023-12-13T15:06:23.258000Z,2023-12-13T15:16:01.949000Z,2023-12-13T20:19:07.014000Z,2023-12-13T15:16:02.586626Z,579.0,CWWHERKO,216,English,English,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6579c8a1ff548adb5085d511,60fd4f8bcf203e8452b79f1a,APPROVED,2023-12-13T15:07:17.684000Z,2023-12-13T15:21:06.888000Z,2023-12-13T20:19:07.204000Z,2023-12-13T15:21:07.371215Z,830.0,CWWHERKO,238,English,"English, French",22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6579c92c57f35b2be9231782,5d3112122401af0018ba2919,APPROVED,2023-12-13T15:09:36.134000Z,2023-12-13T15:19:06.429000Z,2023-12-13T20:19:07.409000Z,2023-12-13T15:19:06.863222Z,571.0,CWWHERKO,674,English,English,25,Female,White,Canada,Canada,Canada,English,No,Full-Time
6579c92e2ca9ec07f885d355,5ff8442a0d726a59d5325267,APPROVED,2023-12-13T15:09:34.216000Z,2023-12-13T15:37:33.361000Z,2023-12-13T20:19:07.595000Z,2023-12-13T15:37:33.788606Z,1680.0,CWWHERKO,258,English,English,22,Female,Black,Nigeria,South Africa,Nigeria,English,Yes,Due to start a new job within the next month
6579c92f40431b027b4cf849,614e34945dfd7dfcc9012760,APPROVED,2023-12-13T15:09:35.878000Z,2023-12-13T15:31:45.424000Z,2023-12-13T20:19:07.794000Z,2023-12-13T15:31:45.891375Z,1330.0,CWWHERKO,535,"English, Cantonese","English, Chinese",45,Male,Asian,New Zealand,New Zealand,New Zealand,English,No,Part-Time
6579c9a77edb6ac775979198,5fa879d9f68b9371d90c3aa3,APPROVED,2023-12-13T15:11:39.361000Z,2023-12-13T15:28:23.141000Z,2023-12-13T20:19:07.985000Z,2023-12-13T15:28:23.574745Z,1004.0,CWWHERKO,375,English,English,33,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
6579c9df45d9207e85e4cee8,5dbe53f381091a3500a06508,APPROVED,2023-12-13T15:12:34.753000Z,2023-12-13T15:27:53.274000Z,2023-12-13T20:19:08.221000Z,2023-12-13T15:27:53.822274Z,919.0,CWWHERKO,46,English,English,30,Female,White,Canada,Canada,Canada,English,No,Full-Time
6579c9e5aac7bc3733e6d2d8,61044fcb640e0def77785661,APPROVED,2023-12-13T15:12:40.348000Z,2023-12-13T15:21:17.972000Z,2023-12-13T20:19:08.417000Z,2023-12-13T15:21:18.483560Z,518.0,CWWHERKO,248,English,English,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6579ca0cbab87ef1fae88c9d,6460f320e8ba103d47ded9d6,APPROVED,2023-12-13T15:14:43.925000Z,2023-12-13T15:49:57.934000Z,2023-12-13T20:19:08.611000Z,2023-12-13T15:49:58.438479Z,2115.0,CWWHERKO,137,English,"Afrikaans, English",54,Female,White,United Kingdom,South Africa,United Kingdom,English,No,Full-Time
6579ca27daaf0a21cf666d3c,60bab50bcdd5d7ad3ee97479,APPROVED,2023-12-13T15:13:43.648000Z,2023-12-13T15:26:15.913000Z,2023-12-13T20:19:08.986000Z,2023-12-13T15:26:16.331358Z,753.0,CWWHERKO,224,English,English,20,Female,White,Ireland,Ireland,Ireland,English,Yes,Part-Time
6579ca4ea7d7d2343a5ccdd1,652fed9516b0990c27dd6b89,APPROVED,2023-12-13T15:14:22.913000Z,2023-12-13T15:32:24.371000Z,2023-12-13T20:19:09.193000Z,2023-12-13T15:32:24.824631Z,1082.0,CWWHERKO,43,English,"English, Other",27,Male,Asian,Sri Lanka,Australia,Australia,English,No,Full-Time
6579ca9df05fc21f33631dc2,5db5e92f734a26000b470dde,APPROVED,2023-12-13T15:15:48.527000Z,2023-12-13T15:41:29.087000Z,2023-12-13T20:19:09.407000Z,2023-12-13T15:41:29.637055Z,1541.0,CWWHERKO,744,English,English,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6579cad7621bb99d32209bfb,6016bbe3a28c6014fd3236b8,APPROVED,2023-12-13T15:16:44.573000Z,2023-12-13T15:36:46.782000Z,2023-12-13T20:19:09.621000Z,2023-12-13T15:36:47.273334Z,1203.0,CWWHERKO,462,"Afrikaans, English","Afrikaans, English",25,Male,Mixed,South Africa,South Africa,South Africa,English,No,Other
6579cae19835e6b1b65cc1a6,60b93dbc8ff56ba91e07c174,APPROVED,2023-12-13T15:16:54.645000Z,2023-12-13T15:25:06.587000Z,2023-12-13T20:19:09.849000Z,2023-12-13T15:25:07.087771Z,492.0,CWWHERKO,443,English,English,58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6579cae4e68d3c7d40ee4d5f,609f7f84173c702573fb66cc,APPROVED,2023-12-13T15:17:04.840000Z,2023-12-13T15:34:29.092000Z,2023-12-13T20:19:10.084000Z,2023-12-13T15:34:29.526385Z,1045.0,CWWHERKO,28,English,English,23,Male,Mixed,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
6579cb01621bb99d32209c07,5f1301b0bbe07d00090dd94a,APPROVED,2023-12-13T15:17:29.388000Z,2023-12-13T15:29:41.823000Z,2023-12-13T20:19:10.286000Z,2023-12-13T15:29:42.349534Z,733.0,CWWHERKO,480,English,English,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6579cb12bbe69433a65ccd99,6021b4592cecf2216baabfed,APPROVED,2023-12-13T15:17:44.784000Z,2023-12-13T15:42:44.523000Z,2023-12-13T20:19:10.490000Z,2023-12-13T15:42:45.258718Z,1500.0,CWWHERKO,635,English,English,22,Male,Black,Zimbabwe,Poland,Zimbabwe,English,Yes,Due to start a new job within the next month
6579cb2a84143c0136833d4f,611107eaa48093e17e7e56d2,APPROVED,2023-12-13T15:18:07.254000Z,2023-12-13T15:28:35.526000Z,2023-12-13T20:19:10.726000Z,2023-12-13T15:28:35.977619Z,629.0,CWWHERKO,348,English,English,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6579cb2c77fc3cb7740bfb35,63d4079b9f81c5da3433f4b8,APPROVED,2023-12-13T15:18:04.604000Z,2023-12-13T15:28:17.991000Z,2023-12-13T20:19:10.930000Z,2023-12-13T15:28:18.490937Z,614.0,CWWHERKO,334,English,English,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6579cb2cc0f8749b1dfd488c,65182cdf49dd0f33aaf0cfd1,APPROVED,2023-12-13T15:18:21.846000Z,2023-12-13T15:31:40.426000Z,2023-12-13T20:19:11.176000Z,2023-12-13T15:31:40.853012Z,799.0,CWWHERKO,102,English,English,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6579cb3c9ef56c7134e88a6e,6577e8181dea1ce81703ca8b,APPROVED,2023-12-13T15:18:20.281000Z,2023-12-13T15:42:37.848000Z,2023-12-13T20:19:11.394000Z,2023-12-13T15:42:38.592242Z,1458.0,CWWHERKO,5,English,"English, French",19,Male,White,New Zealand,New Zealand,New Zealand,English,No,Part-Time
6579cb4546d06f09e906ba83,652014e14d30bf0b7a862a60,APPROVED,2023-12-13T15:18:37.416000Z,2023-12-13T15:31:56.694000Z,2023-12-13T20:19:11.593000Z,2023-12-13T15:31:58.024166Z,800.0,CWWHERKO,44,English,English,44,Male,White,Canada,Canada,Canada,English,No,Full-Time
6579cb4964a444c189158efd,60721c2da01b3a616edba9a7,APPROVED,2023-12-13T15:19:42.682000Z,2023-12-13T15:37:59.176000Z,2023-12-13T20:19:11.866000Z,2023-12-13T15:37:59.613555Z,1097.0,CWWHERKO,396,English,English,44,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6579cb4da384614cdb2723c8,5c5ca0ce4ee81200018eaf51,APPROVED,2023-12-13T15:18:40.952000Z,2023-12-13T15:40:38.968000Z,2023-12-13T20:19:12.073000Z,2023-12-13T15:40:39.376830Z,1319.0,CWWHERKO,801,English,"Afrikaans, English",54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6579cb4e1a6a7e24def845e6,5a1e3db26e1ea9000124ffd4,APPROVED,2023-12-13T15:20:30.243000Z,2023-12-13T15:46:21.268000Z,2023-12-13T20:19:12.281000Z,2023-12-13T15:46:21.835660Z,1552.0,CWWHERKO,134,English,English,51,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6579cb55540f1e5d484e44cb,5b773e58a1c0710001a0ebad,APPROVED,2023-12-13T15:18:52.639000Z,2023-12-13T15:39:19.734000Z,2023-12-13T20:19:12.570000Z,2023-12-13T15:39:20.242071Z,1228.0,CWWHERKO,246,English,English,36,Male,White,Canada,Canada,Canada,English,No,Unemployed (and job seeking)
6579cb5cfc02a7516a148dc5,5ea954a1550e7902833cece8,APPROVED,2023-12-13T15:18:55.635000Z,2023-12-13T15:27:43.068000Z,2023-12-13T20:19:12.794000Z,2023-12-13T15:27:43.606981Z,528.0,CWWHERKO,1073,English,"English, Japanese",22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6579cb65b43f0c0f0fe1927a,5f1e1924c9f24d7af7632e2e,APPROVED,2023-12-13T15:19:10.668000Z,2023-12-13T15:53:57.412000Z,2023-12-13T20:19:13.013000Z,2023-12-13T15:53:57.894330Z,2087.0,CWWHERKO,204,English,English,27,Male,White,Netherlands,Canada,Canada,English,Yes,Full-Time
6579cb74c0fe40c7f2e4d0bc,5b9b7d4608c0fc0001472a30,APPROVED,2023-12-13T15:19:55.387000Z,2023-12-13T15:33:46.964000Z,2023-12-13T20:19:13.252000Z,2023-12-13T15:33:47.443353Z,832.0,CWWHERKO,367,English,English,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6579cb75621bb99d32209c1e,6155f2c84aedcacc95fb188d,APPROVED,2023-12-13T15:21:36.746000Z,2023-12-13T15:37:33.516000Z,2023-12-13T20:19:13.482000Z,2023-12-13T15:37:33.895491Z,957.0,CWWHERKO,630,English,English,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6579cb8d621bb99d32209c24,62cd6fa42b0e6cf377b28655,APPROVED,2023-12-13T15:19:46.209000Z,2023-12-13T15:26:43.898000Z,2023-12-13T20:19:13.737000Z,2023-12-13T15:26:44.356089Z,418.0,CWWHERKO,165,English,English,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6579cba79b216b0a88fd4703,5f7a4d05a8da636ab1802596,APPROVED,2023-12-13T15:24:32.831000Z,2023-12-13T15:45:55.869000Z,2023-12-13T20:19:13.968000Z,2023-12-13T15:45:56.299306Z,1284.0,CWWHERKO,1438,English,English,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
