"","id","condition","age","sex","total_score","engagement","difficulty","strategy","impression","feedback","date","time","task_duration","intruction","start_time"
"1",3,"novice-high",22,"other",5250,8,7,"If I couldnt get a good fusion fast I would just try and start extracting using whatever I had","Under half it felt like maybe 30 or 40","Not really was interesting enough and clear to understand","2024_07_02","15_36_07",304696,1,1719858601658
"2",4,"expert-high",22,"female",13894,7,6,"To combine crystals as much as possible until the final two machine presses are left and then extract my highest value crystals","Fusions work out most of the time but seem to work less often when combining two different shapes even when instructions indicate this is best.","None.","2024_07_02","20_39_41",486460,4,1719858633835
"3",5,"expert-high",19,"female",5986,4,5,"Add the highest energy crystal to the shape that is likely to fuse a new crystal and then eveyr now and then extrzct the largest value.","910","No","2024_07_02","20_40_54",431794,3,1719858761741
"4",6,"novice-high",35,"male",4435,10,0,"Aim for fusions early on to build up a high-value crystal then use remaining extractions on the fused crystal.","They seemed less common in the early tasks and more common in the later tasks.","It was fun!","2024_07_02","15_42_04",451952,3,1719858811610
"5",7,"expert-high",41,"male",8103,9,1,"I would try to fuse for 3 or 4 attempts and then extract the highest value crystal for the remaining moves available.","about 80","no","2024_07_02","12_42_12",499527,1,1719858772397
"6",8,"novice-high",30,"female",3500,8,5,"I tried to get fusions early on and it it didnt work focused on getting points","Not particulary often maybe like 1 in 10","","2024_07_02","20_45_37",338337,1,1719859137858
"7",9,"expert-high",39,"male",3301,7,3,"Finding a pattern of letters matching","Nearly every time I attempted","No","2024_07_02","14_45_50",504997,2,1719858984630
"8",10,"novice-high",51,"female",3664,9,1,"No discernible pattern to what fuses so no real strategy there. Better to just not try fusions and make 1000 points each round.","Maybe half the time or less.","You will always make MORE points by not doing any fusions.","2024_07_02","15_56_50",795918,1,1719859353585
"9",11,"novice-high",38,"female",4300,9,10,"It felt like a bit of a gamble. I could take a guaranteed 1000 points out or trial a few fusions and hope to return more points if I get a fusion within 3 attempts. After 3 attempts it seemed logical to just plump for extracting the 100pt crystals.","Not as often as I thought they would! Perhaps 1 in 5 attempts?","To perform the activity again i think id just opt to extract 100pt crystals and not attempt to fuse.","2024_07_02","21_28_35",780756,2,1719861274155
"10",12,"novice-high",29,"female",5175,7,7,"I tried to balance trying to fuse crystals while still allowing enough time to extract crystals","Not very often - it was tricky and I couldnt figure out why fusions worked and didnt","","2024_07_03","08_43_16",389982,1,1719923745236
"11",13,"expert-high",34,"male",11836,10,7,"fuse until failure. if over 5 attempts left fuse again; if that fails extract highest crystal for remaining turns","quite often","no","2024_07_03","13_44_16",377584,1,1719923817546
"12",14,"novice-high",31,"female",4550,10,8,"to try and fuse them together in the first couple of gos if not then try to maximise points from the single crystals","on average around the 3rd guess ","no ","2024_07_03","14_47_32",294192,3,1719924097290
"13",15,"novice-high",41,"male",3702,2,5,"I didnt have one I couldnt figure out the pattern.","Im not sure they seemed to use different rules between rounds.","None","2024_07_03","09_53_16",436757,1,1719924299044
"14",16,"novice-high",22,"male",5611,7,6,"I tried fusing different combinations of the crystals to gain higher points crystals. If I didnt manage to get a high point crystal within about 5 tries I just extracted the highest point crystal I had with the rest of my moves","About 1 in 5 attempts but it is dependent on the shapes","--","2024_07_03","14_53_55",340517,1,1719924434419
"15",17,"novice-high",32,"female",4191,7,1,"It seemed like the D triangles were the most likely to fuse. But I didnt end the round without at least 500 easy points","20 of the time","","2024_07_03","15_54_05",468044,1,1719924316054
"16",18,"novice-high",30,"female",3644,9,2,"fuse them systematically and extract new fuses to gain points between fuses and start the fuse order again with new ones immediately to gain higher points","every 3-4 attempts on average I think some games went better than others","na","2024_07_03","14_55_47",436838,3,1719924449815
"17",19,"expert-high",26,"male",7884,9,2,"Try a few combos but ensure that the point i can get are more than 1000+ to make the fusing worth it","Id say a majorty of the time i was sucessful","NA","2024_07_03","14_56_29",272505,1,1719924656271
"18",20,"expert-high",48,"female",6600,0,3,"get the most points","most of the time","boring","2024_07_03","08_56_43",427016,3,1719924515258
"19",21,"novice-high",22,"female",3200,7,6,"If I hadnt found a successful fusion after I had used 510 of my attempts of the machine I would just extract crystals without trying to fuse to ensure I got at least some points.","Around 25 of attempted fusions seemed to be successful","","2024_07_03","14_56_58",410542,2,1719924547452
"20",22,"expert-high",23,"female",5925,8,3,"Each round I tried to fuse two separate crystals two times to get two 150p crystals. then I either tried to fuse those two together or with another crystal to get a 225p crystal. Once I had one or if I had used up 5 moves trying to get one I would extract for the rest of my moves. If I got more than 1000p I considered it a good round considering I could get 1000p for just extracting all 10 moves. Less than 1000p was not a good round for me. If I was going to play it safe while maximizing what output I could I would have just extracted 100p every single turn.","About 80 of the time as it said.","I was confused by the wording of a few questions during the attention check quiz which caused me to fail it twice.","2024_07_03","10_57_09",525324,3,1719924443227
"21",23,"novice-high",31,"female",3197,8,5,"I tried each shape first trying to chose either the same letters across each shape or different letter combinations per shape.","50 of the time","No","2024_07_03","14_56_21",325201,2,1719924595051
"22",24,"expert-high",20,"male",7037,10,0,"I only made use of the more likely (80) fusions and tried to get to around 300 points before extracting. It seemed relatively likely to be able to carry out 3 fusions in a row before extracting but in reality it only worked out perfecly one of the 5 times.","Closer to 50-60 of the time. I never tried the other fusions so I cannot comment on them.","Very fun! ","2024_07_03","15_57_39",537469,2,1719924461082
