"","prolific_id","total_score","bonus"
"1","6319cf03da3ae2a391d2b82a",7625,0.25
"2","5ddcf85cac504ac4b5bd53af",7779,0.26
"3","656cb321c053d63a280ae68c",13265,0.44
"4","5eae480dfef06e509de7f31a",9500,0.32
"5","6612d95e5cabf94ef8462569",3764,0.13
"6","62349b9d9d293b56a95ede2c",10541,0.35
"7","5d07dffbfb344600015e2ae6",8792,0.29
"8","60c6ad223fa5a149e3ceefc7",14162,0.47
"9","5f61bbe3c18cc915aac68b32",12950,0.43
"10","5e65061173afb2277765b53b",5441,0.18
"11","65b845593a13cfcd2c54ab70",16877,0.56
"12","5d6807006ec29b0001f8bed2",5259,0.18
"13","61fa955a5719bc09cb8351a5",7584,0.25
"14","5bed8604b51618000162125c",6877,0.23
"15","656b3969b0ac31e13f5428dd",19170,0.64
"16","5ebf20dfbe8f9015d7928160",16911,0.56
"17","5ff7320620d7133805a3cac7",6983,0.23
"18","5ff1e9e97e067a6157742ad3",7104,0.24
"19","5fff11332f30d263176fa57f",7736,0.26
"20","57f3ea7222866100016b5d69",10986,0.37
"21","6629397b3de1a0e2645d5415",11676,0.39
"22","5b1579cdea4977000163067a",9648,0.32
"23","5eea3abe701f9c083b4344d4",12025,0.4
"24","6037a1d75ddb2f02613d39a2",16244,0.54
"25","609fa46350e47e8c8a5fb830",8150,0.27
"26","644f8c80b71e16db44251de7",12369,0.41
"27","65254b40d6190d1eeb45e1e5",29047,0.97
"28","65a61582ae053bf8e532c3f7",17489,0.58
"29","5d50692435e3af0001f05a15",8833,0.29
"30","5e2f8227b9a45e53a411f373",9650,0.32
"31","655f5c149f74813693c00378",23583,0.79
"32","5a70a0abefd3a70001210477",7564,0.25
"33","60b904a66604f5e79c6066dd",9057,0.3
"34","62eac88dc8087b43cdf64480",17738,0.59
"35","6107acc592df914a921e2b41",11058,0.37
"36","59ccd702faf42e00012b68f5",17914,0.6
"37","63d161c9e0cf5f1b1f7bce5b",13501,0.45
"38","600b00d70c3b950f03a25bd1",5695,0.19
"39","5d3726f72fd5a40001e59b06",17172,0.57
"40","60b86ca5f6cdbe9f29e1dafd",25807,0.86
"41","6483b216f5f21f0463109ac7",19296,0.64
