"","id","condition","knowledge","high_feat","age","sex","total_score","engagement","difficulty","strategy","feedback","date","time","task_duration","intruction","start_time"
"1",2,"expert-cross","expert","cross",41,"male",4816,7,7,"find a routine","no","2024_04_19","15_38_56",295834,6,1713447180152
"2",3,"expert-square","expert","square",30,"female",10383,10,4,"I would try to fuse at least 4 times then extract.","no","2024_04_19","10_39_15",360127,1,1713447134120
"3",4,"novice-square","novice","square",25,"female",10894,10,3,"I wouldnt say I really had a strategy but I tried to do various combinations (a+b) (c+d) etc then if any of those worked I would then try to pair it up along the alphabet. Once I had 3 tries left I gave up trying to make more pairs and ended up extracting the group that had the highest point then.","","2024_04_19","15_40_03",386241,3,1713447155906
"4",5,"expert-circle","expert","circle",24,"male",10928,9,8,"Trying to get as many new crystals as possible and then combining them for more points at the start then extracting with the few attempts after.","na","2024_04_19","10_40_24",248876,7,1713447315035
"5",6,"novice-cross","novice","cross",39,"female",20742,9,7,"Try to increase the amount through fusing and leave a few rounds to extract","I wasnt sure how the bonus would be calculated","2024_04_19","15_42_48",446802,1,1713447260292
"6",7,"novice-cross","novice","cross",43,"female",10528,10,3,"I was just trying to pick the two largest amounts and put them together.","It was really fun!","2024_04_19","10_46_19",347185,3,1713447571038
"7",8,"expert-square","expert","square",52,"female",21890,7,1,"To create the highest value crystals before extracting","","2024_04_19","16_43_45",529440,1,1713447235111
"8",9,"expert-circle","expert","circle",32,"male",8669,10,0,"Try fusions early and if fail just extract","Very fun ","2024_04_19","16_44_33",353944,2,1713447458577
"9",10,"expert-cross","expert","cross",34,"other",17037,8,3,"at first i was more systematic with my strategy based on the instructions yet i became more loose and random in my selection while still staying with the best odds","na","2024_04_19","10_48_13",566180,1,1713447466158
"10",11,"expert-square","expert","square",42,"female",5553,10,8,"Trying to make combinations but making sure to extract for some points towards the end","This was really hard and I feel dumb but it was fun. Thanks for letting me contribute smart people!","2024_04_19","10_49_03",429928,5,1713447652497
"11",12,"expert-square","expert","square",37,"female",18606,10,2,"Try to combine the square crystals for the best chance at increasing the value","no","2024_04_19","10_51_01",513114,2,1713447687102
