"","id","condition","task_id","step_id","action","item_selection","feedback","immediate_score","total_score","timestamp","start_time","task_sec"
"1",2,"expert-cross",1,1,"F","circle-d-square-d","1",0,0,1713447262201,1713447180152,82.049
"2",2,"expert-cross",1,2,"F","circle-[dd]-square-e","1",0,0,1713447264834,1713447180152,84.682
"3",2,"expert-cross",1,3,"F","circle-[[dd]e]-circle-[dd]","0",0,0,1713447267787,1713447180152,87.635
"4",2,"expert-cross",1,4,"F","circle-[[dd]e]-square-e","0",0,0,1713447270385,1713447180152,90.233
"5",2,"expert-cross",1,5,"F","circle-f-square-f","0",0,0,1713447273979,1713447180152,93.827
"6",2,"expert-cross",1,6,"F","circle-[[dd]e]-circle-d","0",0,0,1713447278641,1713447180152,98.489
"7",2,"expert-cross",1,7,"F","circle-[[dd]e]-square-d","0",0,0,1713447280970,1713447180152,100.818
"8",2,"expert-cross",1,8,"E","circle-[[dd]e]","NA",225,225,1713447284170,1713447180152,104.018
"9",2,"expert-cross",1,9,"E","circle-[[dd]e]","NA",225,450,1713447286057,1713447180152,105.905
"10",2,"expert-cross",1,10,"E","circle-[[dd]e]","NA",225,675,1713447287177,1713447180152,107.025
"11",2,"expert-cross",2,1,"F","circle-a-circle-e","0",0,0,1713447293426,1713447180152,113.274
"12",2,"expert-cross",2,2,"F","circle-e-square-e","0",0,0,1713447306948,1713447180152,126.796
"13",2,"expert-cross",2,3,"F","circle-f-square-f","1",0,0,1713447308731,1713447180152,128.579
"14",2,"expert-cross",2,4,"F","circle-d-square-d","1",0,0,1713447310905,1713447180152,130.753
"15",2,"expert-cross",2,5,"F","circle-c-square-d","1",0,0,1713447313353,1713447180152,133.201
"16",2,"expert-cross",2,6,"F","circle-[cd]-circle-[dd]","0",0,0,1713447315649,1713447180152,135.497
"17",2,"expert-cross",2,7,"F","circle-[cd]-square-[ff]","1",0,0,1713447317810,1713447180152,137.658
"18",2,"expert-cross",2,8,"F","circle-[[cd][ff]]-square-[ff]","1",0,0,1713447320322,1713447180152,140.17
"19",2,"expert-cross",2,9,"F","circle-[[cd][ff]]-square-[[[cd][ff]][ff]]","1",0,0,1713447323369,1713447180152,143.217
"20",2,"expert-cross",2,10,"E","circle-[[[[cd][ff]][ff]][[cd][ff]]]","NA",507,507,1713447326316,1713447180152,146.164
"21",2,"expert-cross",3,1,"F","circle-d-square-d","1",0,0,1713447332443,1713447180152,152.291
"22",2,"expert-cross",3,2,"F","circle-[dd]-circle-d","0",0,0,1713447334411,1713447180152,154.259
"23",2,"expert-cross",3,3,"F","circle-c-circle-d","0",0,0,1713447336539,1713447180152,156.387
"24",2,"expert-cross",3,4,"F","circle-d-square-b","1",0,0,1713447338081,1713447180152,157.929
"25",2,"expert-cross",3,5,"F","circle-[dd]-square-[bd]","1",0,0,1713447340705,1713447180152,160.553
"26",2,"expert-cross",3,6,"F","circle-[[bd][dd]]-square-[bd]","1",0,0,1713447342802,1713447180152,162.65
"27",2,"expert-cross",3,7,"F","circle-[[[bd][dd]][bd]]-circle-[[bd][dd]]","1",0,0,1713447345228,1713447180152,165.076
"28",2,"expert-cross",3,8,"F","circle-[[[[bd][dd]][bd]][[bd][dd]]]-circle-[[[bd][dd]][bd]]","0",0,0,1713447348604,1713447180152,168.452
"29",2,"expert-cross",3,9,"F","circle-[[[[bd][dd]][bd]][[bd][dd]]]-square-[bd]","1",0,0,1713447350913,1713447180152,170.761
