"","id","condition","age","sex","total_score","engagement","difficulty","strategy","feedback","date","time","task_duration","intruction","start_time"
"1",3,"novice",42,"female",15323,8,4,"I kept trying a few options at the beginning of a turn and then towards the end of my time on that turn I would extract the largest amount I had a few times. ","No","2024_04_20","15_40_31",397017,1,1713533573221
"2",4,"novice",34,"male",6975,9,3,"Try to multiply as much as possible and extract","Instructions were confusing","2024_04_20","15_39_59",327871,4,1713533610363
"3",5,"expert",24,"female",28624,9,0,"Fusing together the crystals which had the strongest chance of working together (I.e. circle + circle square + square circle + square) and then continuing to fuse these new crystals to get more energy. Then extracting the crystals with the highest energy.","No.","2024_04_20","15_43_35",691883,1,1713533463115
"4",6,"novice",26,"male",8745,5,3,"trying to fuse as many crystals together with ones that id already fused to get higher points per extraction","no","2024_04_20","10_45_17",369134,2,1713533887807
"5",7,"expert",23,"female",9696,9,6,"I matched by shapes at first but the 55 chances was harder to reach so I switched to randomly choosing which might have increased my chances of successful fusions.","The understanding quiz stumped me for awhile considering the wording of some of the questions.","2024_04_20","10_48_18",473789,5,1713533964194
"6",8,"novice",24,"female",5593,8,4,"Attempting to fuse the already fused crystals but some rounds it was more difficult than others. ","It was good! ","2024_04_20","16_50_02",462910,2,1713534078890
"7",9,"expert",45,"male",28795,10,1,"I stuck with the highest probability when matching the crystals.  Then I would fuse the highest value crystals first.  If that fails I will then use the next highest combo. I will repeat this until I get to around 4 attempts left then I will extract.","It was very interesting and fun","2024_04_20","24_50_40",823188,3,1713533755972
"8",10,"expert",30,"female",14241,8,1,"fused crystals that had higher chances to get a crystal with more energy and extracted that crystal multiple times","NA","2024_04_20","16_52_58",543870,1,1713534173485
"9",11,"expert",24,"female",24265,8,3,"use the combination with the highest odds","","2024_04_21","01_03_10",356023,2,1713534973578
"10",12,"expert",45,"female",11850,5,1,"I noticed that each extract and each fuse used one press of the machine. So I wanted to quickly get a higher value gem by fusing two together. I could then just push the extract on the higher gem to gain the most points.","no thank you","2024_04_20","11_06_30",475686,1,1713535053423
"11",13,"novice",34,"male",9389,8,0,"Either to just extract and guarantee an okay score. Or fuse once or twice then extract.","","2024_04_20","16_07_04",269313,1,1713535294169
"12",14,"novice",41,"male",4427,6,6,"New patterns appear with each machine. Try to guess new patterns by attempting to avoid previous patterns. Try to extract a few times regardless.","","2024_04_20","23_07_48",711434,1,1713534896432
"13",15,"novice",23,"female",10647,6,8,"I didnt really have one to be honest. For most rounds I played it safe and extracted once Id reached a few levels of fusion","NA","2024_04_20","16_10_59",463568,1,1713535335015
"14",16,"novice",38,"male",10114,9,2,"I tried to see a pattern with how the crystals fused compared to fail and saw that there was generally a pattern that they followed in each game. Sometimes I couldnt get the pattern so I cut my losses and just extracted a few base crystals.","This was fun however the right-click menu kept coming up as I accidentally double-clicked or click-dragged over the letters.","2024_04_21","01_15_57",375110,1,1713535721495
"15",17,"expert",60,"male",14692,8,6,"Using the odds information I looked for the combination that had the greatest chance of giving a winning combination and only combined those crystals. I hate gambling so tended to harvest the points once I had say 3 turns to go and 3 crystals over 100.  I am very risk-averse.","Nope","2024_04_20","17_16_54",800176,2,1713535353031
"16",18,"expert",67,"female",15209,8,1,"Just going with the best odds for combinations and then choosing the right time to extract as many points as possible","Quite fun!","2024_04_20","16_26_57",654093,21,1713536102156
"17",19,"novice",45,"female",4300,8,3,"No particular strategy","Thank you.","2024_04_20","16_31_09",451156,5,1713536557045
