"","id","condition","task_id","squareOnLeft","pcircle","psquare","pcross","step_id","action","item_selection","feedback","immediate_score","total_score","timestamp","start_time","task_sec"
"1",3,"novice",1,1,0.2,0.8,0.2,1,"F","circle-f-square-c","0",0,0,1713533651375,1713533573221,78.154
"2",3,"novice",1,1,0.2,0.8,0.2,2,"F","circle-d-square-b","0",0,0,1713533654371,1713533573221,81.15
"3",3,"novice",1,1,0.2,0.8,0.2,3,"F","square-e-square-f","1",0,0,1713533657161,1713533573221,83.94
"4",3,"novice",1,1,0.2,0.8,0.2,4,"F","square-[ef]-square-b","1",0,0,1713533660059,1713533573221,86.838
"5",3,"novice",1,1,0.2,0.8,0.2,5,"F","square-[[ef]b]-square-[ef]","1",0,0,1713533663961,1713533573221,90.74
"6",3,"novice",1,1,0.2,0.8,0.2,6,"E","square-[[[ef]b][ef]]","NA",338,338,1713533666137,1713533573221,92.916
"7",3,"novice",1,1,0.2,0.8,0.2,7,"E","square-[[[ef]b][ef]]","NA",338,676,1713533667707,1713533573221,94.486
"8",3,"novice",1,1,0.2,0.8,0.2,8,"E","square-[[[ef]b][ef]]","NA",338,1014,1713533669351,1713533573221,96.13
"9",3,"novice",1,1,0.2,0.8,0.2,9,"E","square-[[[ef]b][ef]]","NA",338,1352,1713533672269,1713533573221,99.048
"10",3,"novice",1,1,0.2,0.8,0.2,10,"E","square-[[[ef]b][ef]]","NA",338,1690,1713533675235,1713533573221,102.014
"11",3,"novice",2,1,0.2,0.8,0.2,1,"F","circle-e-square-d","0",0,0,1713533682727,1713533573221,109.506
"12",3,"novice",2,1,0.2,0.8,0.2,2,"F","circle-d-circle-d","0",0,0,1713533685333,1713533573221,112.112
"13",3,"novice",2,1,0.2,0.8,0.2,3,"F","circle-f-circle-f","0",0,0,1713533687621,1713533573221,114.4
"14",3,"novice",2,1,0.2,0.8,0.2,4,"F","square-d-square-d","1",0,0,1713533690075,1713533573221,116.854
"15",3,"novice",2,1,0.2,0.8,0.2,5,"F","square-b-square-f","1",0,0,1713533692540,1713533573221,119.319
"16",3,"novice",2,1,0.2,0.8,0.2,6,"F","square-[bf]-square-[dd]","0",0,0,1713533696594,1713533573221,123.373
"17",3,"novice",2,1,0.2,0.8,0.2,7,"F","square-[dd]-square-c","1",0,0,1713533699475,1713533573221,126.254
"18",3,"novice",2,1,0.2,0.8,0.2,8,"F","circle-b-square-[[dd]c]","0",0,0,1713533703160,1713533573221,129.939
