"","id","condition","intruction","total_score","age","sex","engagement","difficulty","strategy","feedback","date","time","task_duration","start_time"
"1",1,"novice-high",1,5957,30,"female",10,3,"If I got near the end without a successful fusion I would just extract.","Really interesting!Would be intrigued to know the results.","2024_05_23","21_29_30",381093,1716405728422
"2",2,"expert-high",1,14464,27,"female",9,4,"I tried building up with the recommended pairings first then tried combining some of the biggest crystals before extracting for the final one or two steps","A bit confusing at first what the point was with combining crystals if you earn more points by just extracting but then it did say near the end of the instructions that we are supposed to try and combine them before extracting out the points so I guess the point was to balance those two goals.","2024_05_23","21_30_42",543368,1716405638098
"3",3,"novice-high",1,4765,27,"male",6,5,"Spend the first half of the tries trying to find combinations afterwards extract as much as possible","none","2024_05_23","21_31_45",357461,1716405886788
"4",4,"expert-high",1,16248,27,"female",9,2,"I just hoped for the best and took in to account the hint at the top of the machine when it was the last two goes i usually just extracted my highest amount","Not really other than the fact it was well explained and easy to follow","2024_05_23","21_34_49",563056,1716405865002
"5",5,"expert-high",1,16133,24,"female",9,0,"i tried to do the combinations that had the higher odds (e.g. if the text said that triangle + triangle is successful 8 out of 10 times then i focused on making those combinations). I started with a until a wasnt successful anymore then went onto b and so on. I kept on fusing the previously fused shape because I thought thatd be the best way to get the most xp","im very curious as to what this experiment measures haha! risk-taking?","2024_05_23","22_36_15",419590,1716406095271
"6",6,"novice-high",1,4250,33,"male",7,6,"try to combine to get higher points. extract a few times and then try to combine again but it failed a lot of the times","tougher than i expected. thought the combinations would give me more points but it seems like the safer bet is to try and combine 1-3 times and then just extract","2024_05_23","13_37_23",388443,1716406193948
"7",7,"novice-high",1,5750,45,"female",6,2,"I tried to see if there was a pattern to fusing","none","2024_05_23","16_37_35",346364,1716406248144
"8",8,"novice-high",1,5365,35,"female",7,8,"More trying intuition than strategy","None","2024_05_23","21_38_43",490170,1716406172244
"9",9,"novice-high",1,5350,50,"male",7,5,"Try to combine a few times to try to get a combination that gives me more points and if it isnt successful after some attempts just extract the higher crystal I had.","","2024_05_23","22_39_57",343290,1716406393552
"10",10,"novice-high",1,7037,41,"male",8,7,"I tried to find the easiest combination that is most likely to give me more point in a short time. ","It was fun Would like to play similar games in the future.","2024_05_23","21_40_26",513700,1716406251414
"11",11,"expert-high",1,15185,52,"female",7,5,"Only use the combination with the highest chance of success. Extract from the highest value crystal when 4 or 5 turns remaining","none","2024_05_23","21_40_51",640970,1716406149074
"12",12,"expert-high",1,7700,44,"female",8,7,"To fuse asap and then extract the more powerful crystal multiple times","no","2024_05_23","21_42_28",383651,1716406503543
"13",13,"expert-high",1,14796,37,"female",8,1,"I kept changing strategies!....I got so into developing new crystals that I forgot I needed to extract to get points. I also took advice from the hint.","","2024_05_23","21_45_37",671702,1716406404710
"14",14,"expert-high",1,11173,27,"male",10,3,"Testing multiple combos and trying to get the highest before the last 3 uses were up and get the experience.","","2024_05_23","21_47_03",316373,1716406846527
"15",15,"expert-high",1,7689,29,"female",10,4,"TO build crystals worth more ","na","2024_05_23","22_48_47",500892,1716406765708
