"","id","condition","intruction","total_score","age","sex","engagement","difficulty","strategy","feedback","date","time","task_duration","start_time"
"1",1,"novice-low",1,4950,37,"female",5,3,"I just extracted the regular crystals. A regular crystal was worth 100 using 1 attempt. A fused was worth 150 using 2 attempts. To fuse cost me 25 points per crystal.","Fun game!","2024_06_05","09_37_52",278343,1717504333247
"2",2,"novice-low",3,4750,29,"female",10,8,"Trying to get the biggest combos for the most points","No","2024_06_05","09_41_40",293007,1717504546485
"3",3,"novice-high",3,4650,23,"female",8,7,"To try and fuse in teh first few clicks and then just go for singles","nope","2024_06_05","07_41_49",246856,1717504601235
"4",4,"novice-low",2,3700,26,"female",7,2,"Trying a few combos to fuse after about 5 unsuccessful fusions I extracted the highest points for the rest of the rounds.","No","2024_06_05","15_42_41",380126,1717504520264
"5",5,"expert-high",1,15466,36,"male",8,4,"Moderately take more risks until get less than last rounds points.","It was fun","2024_06_05","22_44_23",312172,1717504690333
"6",6,"novice-low",3,4350,26,"female",9,7,"If I couldnt find any successful fusions by the 5th ish selection i would extract only to claim guaranteed points","","2024_06_05","23_46_25",450766,1717504673307
"7",7,"novice-high",3,2100,23,"female",10,7,"Try to make as many jewels as possible","no really interesting but could not find the trick in the gems","2024_06_05","15_47_12",370912,1717504800645
"8",8,"novice-high",3,4075,22,"male",7,8,"Try to hit a fusion and then extract for my remaining turns. ","","2024_06_05","08_47_21",218497,1717504962323
"9",9,"novice-low",1,5516,20,"male",10,5,"Build up a good crystal combination in the 300-500XP range as soon as possible and then cash out by repeatedly using that crystal. If no combinations were found or only a single combination found with 3 moves left then cash out with a low <500 score","Very engaging and thought provoking. Excellent study :) ","2024_06_05","14_47_52",530174,1717504681463
"10",10,"novice-low",1,5000,28,"male",3,4,"I thought it was safer to guarantee 100 points each time.","","2024_06_05","14_48_29",154558,1717505094044
"11",11,"novice-high",1,5314,29,"male",10,6,"I would use the first few turns to create a crystal worth more and extract just that crystal if no new crystal is created after 3 turns I extract normal crystals.","None.","2024_06_05","15_49_54",492566,1717504840707
"12",12,"expert-high",2,5620,36,"female",7,0,"To try and get combos and then use those combos to get higher scores.","No.","2024_06_05","09_50_15",584849,1717504770075
"13",13,"expert-high",2,10514,24,"female",7,4,"Creating largest shape using the most worked combination (i.e. combination that works 8 out of 10 times) and then extracting.","More practice rounds less instructions at start - got confusing when experiment actually began","2024_06_05","23_50_58",722457,1717504675535
"14",14,"novice-high",3,4700,36,"female",10,3,"I just followed the instrauction","no","2024_06_05","15_51_60",463571,1717504996312
"15",15,"novice-low",1,7473,55,"other",10,5,"I tested two of the same then two different shapes. I tried patterns going from A-F A-E  etc and it worked on some of the trials.","I enjoyed it I am sure there was a more logical pattern but I couldnt find it","2024_06_05","14_53_06",567677,1717504957582
"16",16,"novice-low",4,7506,36,"female",10,3,"I tryed to get a crystal fused at start then once i had increased value of one i extracted the points","Was good fun Enjoyed it.","2024_06_05","14_53_47",502196,1717505064545
"17",17,"expert-high",3,4325,43,"male",10,8,"just following the instructions","no","2024_06_05","15_08_12",672093,1717505759169
"18",18,"novice-low",1,5085,29,"female",10,5,"Use about 5 tries to get some combos but if only 1 came out use the remaining 5 goes to get 150 using the 1 combo I found. Best case scenario I got a combo first try then combod it with itself to get to 500 points then extract that to get to 2500.","This was really fun I wanted to play longer than just 5 rounds! Really well-made and well thought-out study thanks for the experience and good luck with your research.","2024_06_05","23_16_22",565931,1717506355409
"19",19,"expert-high",1,13303,30,"male",1,4,"Maximise points","","2024_06_05","15_18_48",444177,1717506623774
"20",20,"expert-low",6,12050,35,"female",7,5,"to fuse the higher value crystals together ","the questions after the instructions werent really clear.","2024_06_05","15_22_50",526395,1717506782666
"21",21,"expert-high",2,7200,30,"male",10,5,"Not be too greedy and take what I can get","It was fun :)","2024_06_05","15_60_54",302562,1717523691369
"22",22,"expert-low",1,5741,43,"male",8,5,"Quite random really","","2024_06_05","20_01_56",323441,1717523731811
"23",23,"expert-high",4,6375,27,"male",8,1,"Get an early fusion and then extract the higher value multiple times","No additional comments","2024_06_05","20_03_16",299798,1717523835728
"24",24,"novice-low",1,7510,52,"female",8,4,"Use three times then extract","","2024_06_05","20_04_02",367655,1717523813809
"25",25,"novice-low",3,7321,32,"female",10,5,"I just tried to get the highest score by thinking if a number had a few fuses it was probably best to extract to get a bigger score by extracting a few times.","","2024_06_05","20_04_40",329263,1717523890261
"26",26,"novice-low",2,6315,25,"male",10,3,"Trying to find the pattern each time for things that would fuse!","","2024_06_05","20_04_51",320957,1717523909381
"27",27,"novice-high",5,4175,26,"male",5,5,"Pretty much failed on acheiving fusion so started to go with 100 points and extracting.","none","2024_06_05","20_05_17",263007,1717523993279
"28",28,"expert-low",1,14967,40,"noresponse",10,2,"I took into account the stats re the outcomes. I also tried fusing larger value crystals","No","2024_06_05","20_06_23",388769,1717523933693
"29",29,"expert-high",6,14030,34,"female",9,7,"NA","NA","2024_06_05","15_06_33",380167,1717523952282
"30",30,"expert-low",2,15987,1828,"male",6,3,"Trying to create a new crystal with the greatest value possible by combining it with another crystal that had an 810 success rate. I would then extract this highest-earning crystal when there were 2-3 turns left to extract it in order to earn as much as possible with the remaining turns.","I liked the game design and thought it was a pretty interesting and unique experiment","2024_06_06","05_07_39",606324,1717523792049
"31",31,"expert-high",2,4725,36,"male",10,5,"I tried to combine two crystals created from a fusion together to then extract it and gain the most points.","","2024_06_05","15_08_28",472071,1717523975927
"32",32,"expert-low",4,9345,32,"female",7,1,"Using the highest success rate completion and then continuing to use fused crystals","A lot of the instructions test answers werent really addressed in the instructions","2024_06_05","20_09_28",599577,1717523908186
"33",33,"expert-low",5,10114,44,"female",10,4,"Use at least one crystal the same and work along the line also try and Fuse bigger crystals together ","Enjoyed it ","2024_06_05","20_11_49",495419,1717524153518
"34",34,"expert-high",1,6450,35,"male",7,7,"Fuse straight away then just extract that fused shape over and over","Wasnt really sure if I could extract higher than a 150pt shape","2024_06_05","20_12_34",316567,1717524376732
"35",35,"novice-high",8,5325,57,"female",8,3,"getting the highest merge","no","2024_06_05","20_12_52",407844,1717524303182
"36",36,"novice-low",5,2900,23,"female",5,5,"Random CLICKING BY ENTUation","","2024_06_05","21_13_22",340873,1717524400533
"37",37,"novice-high",5,3900,43,"male",8,3,"try to find fusions but fall back on guaranteed points.","NA","2024_06_05","20_13_60",452830,1717524326291
