"","id","condition","task_type","task_id","knowledge","density","highCombo","step_id","action","item_selection","feedback","immediate_score","total_score","timestamp","start_time","task_sec"
"1",1,"novice-low","practice",1,"novice","low","triangle-triangle",1,"E","triangle-c","NA",100,100,1717504339673,1717504333247,6.426
"2",1,"novice-low","practice",1,"novice","low","triangle-triangle",2,"F","triangle-d-triangle-f","0",0,100,1717504341778,1717504333247,8.531
"3",1,"novice-low","practice",1,"novice","low","triangle-triangle",3,"F","diamond-c-triangle-e","0",0,100,1717504344405,1717504333247,11.158
"4",1,"novice-low","practice",1,"novice","low","triangle-triangle",4,"F","diamond-a-diamond-b","1",0,100,1717504348935,1717504333247,15.688
"5",1,"novice-low","practice",1,"novice","low","triangle-triangle",5,"E","diamond-[ab]","NA",150,250,1717504350925,1717504333247,17.678
"6",1,"novice-low","practice",1,"novice","low","triangle-triangle",6,"F","triangle-c-triangle-d","0",0,250,1717504354125,1717504333247,20.878
"7",1,"novice-low","practice",1,"novice","low","triangle-triangle",7,"F","diamond-a-diamond-e","0",0,250,1717504357031,1717504333247,23.784
"8",1,"novice-low","practice",1,"novice","low","triangle-triangle",8,"F","diamond-a-triangle-c","0",0,250,1717504360358,1717504333247,27.111
"9",1,"novice-low","practice",1,"novice","low","triangle-triangle",9,"E","triangle-e","NA",100,350,1717504362187,1717504333247,28.94
"10",1,"novice-low","practice",1,"novice","low","triangle-triangle",10,"E","triangle-c","NA",100,450,1717504364106,1717504333247,30.859
"11",1,"novice-low","practice",2,"novice","low","diamond-diamond",1,"F","diamond-b-triangle-b","0",0,0,1717504375177,1717504333247,41.93
"12",1,"novice-low","practice",2,"novice","low","diamond-diamond",2,"F","diamond-a-triangle-f","0",0,0,1717504377275,1717504333247,44.028
"13",1,"novice-low","practice",2,"novice","low","diamond-diamond",3,"F","triangle-d-triangle-e","0",0,0,1717504379605,1717504333247,46.358
"14",1,"novice-low","practice",2,"novice","low","diamond-diamond",4,"F","triangle-a-triangle-c","0",0,0,1717504382392,1717504333247,49.145
"15",1,"novice-low","practice",2,"novice","low","diamond-diamond",5,"F","diamond-a-triangle-a","0",0,0,1717504384706,1717504333247,51.459
"16",1,"novice-low","practice",2,"novice","low","diamond-diamond",6,"E","triangle-a","NA",100,100,1717504387733,1717504333247,54.486
"17",1,"novice-low","practice",2,"novice","low","diamond-diamond",7,"E","triangle-c","NA",100,200,1717504388809,1717504333247,55.562
"18",1,"novice-low","practice",2,"novice","low","diamond-diamond",8,"E","triangle-d","NA",100,300,1717504390166,1717504333247,56.919
"19",1,"novice-low","practice",2,"novice","low","diamond-diamond",9,"E","triangle-e","NA",100,400,1717504391507,1717504333247,58.26
"20",1,"novice-low","practice",2,"novice","low","diamond-diamond",10,"E","triangle-f","NA",100,500,1717504393331,1717504333247,60.084
"21",1,"novice-low","practice",3,"novice","low","triangle-diamond",1,"F","diamond-d-triangle-a","1",0,0,1717504400402,1717504333247,67.155
"22",1,"novice-low","practice",3,"novice","low","triangle-diamond",2,"E","triangle-[ad]","NA",150,150,1717504403053,1717504333247,69.806
