Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
664e441e4628dd64a1f1e073,5751b9a8702d130006285f79,RETURNED,Not Applicable,2024-05-22T19:14:44.387000Z,,,2024-05-22T19:39:09.409941Z,,,186,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
664e44c03378aff6b796d31b,5914ba72318da600011362c6,RETURNED,Not Applicable,2024-05-22T19:17:26.413000Z,,,2024-05-22T19:39:09.409088Z,,,885,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
664e44c0bffac0414717390c,616dce9759fb25373322cbb3,APPROVED,Not Applicable,2024-05-22T19:17:24.967000Z,2024-05-22T19:29:50.873000Z,2024-05-23T00:30:24.557000Z,2024-05-22T19:29:51.371643Z,746.0,CWWHERKO,319,English,English,27,Female,White,Canada,United Kingdom,Canada,English,Yes,Full-Time
664e45169d95fa67578b2ef1,5ef329d8cfbdc00379011819,APPROVED,Not Applicable,2024-05-22T19:18:49.338000Z,2024-05-22T19:28:40.896000Z,2024-05-23T00:30:24.969000Z,2024-05-22T19:29:12.083755Z,592.0,CWWHERKO,256,English,English,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
664e4545275f779f0ddd88d1,609343d3661501831e99ce8f,RETURNED,Not Applicable,2024-05-22T19:20:04.266000Z,,,2024-05-22T19:39:09.411212Z,,,551,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
664e45599d95fa67578b2efa,60d65a056cebfd51ddb8871f,APPROVED,Not Applicable,2024-05-22T19:19:58.919000Z,2024-05-22T19:30:50.493000Z,2024-05-23T00:30:25.145000Z,2024-05-22T19:30:50.915755Z,652.0,CWWHERKO,211,English,English,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
664e456951fdb5c759e073c3,59b011eb9f80a10001e822b0,APPROVED,Not Applicable,2024-05-22T19:21:08.455000Z,2024-05-22T19:33:57.360000Z,2024-05-23T00:30:25.354000Z,2024-05-22T19:33:57.989222Z,769.0,CWWHERKO,413,English,English,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
664e45a026686cecdfd6659b,5c2d0ce469ceff000114152d,RETURNED,Not Applicable,2024-05-22T19:21:11.787000Z,,,2024-05-22T19:39:09.421248Z,,,481,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
664e45a45053b06faef88bb2,5f0a515ebab8d1316a5e99bd,RETURNED,Not Applicable,2024-05-22T19:21:13.432000Z,,,2024-05-22T19:39:09.415094Z,,,312,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
664e45e34064cd59306fc36e,65b2c54dd6d4525d8f330aba,RETURNED,Not Applicable,2024-05-22T19:32:11.075000Z,,,2024-05-22T19:39:09.426055Z,,,19,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
