"","task_id","step_id","p","w","item_selection","action","feedback","immediate_score","total_score","timestamp","prolific_id"
"1","p1",1,0.4,2,"a-b","F","1",0,0,1698243126006,"614f697a16e2e5759e1f4b3e"
"2","p1",2,0.4,2,"[ab]","E","NA",10,10,1698243128205,"614f697a16e2e5759e1f4b3e"
"3","p1",3,0.4,2,"[ab]","E","NA",10,20,1698243132771,"614f697a16e2e5759e1f4b3e"
"4","p1",4,0.4,2,"[ab]","E","NA",10,30,1698243135272,"614f697a16e2e5759e1f4b3e"
"5","p1",5,0.4,2,"[ab]","E","NA",10,40,1698243137007,"614f697a16e2e5759e1f4b3e"
"6","p1",6,0.4,2,"[ab]","E","NA",10,50,1698243138455,"614f697a16e2e5759e1f4b3e"
"7","p1",7,0.4,2,"[ab]","E","NA",10,60,1698243140155,"614f697a16e2e5759e1f4b3e"
"8","p1",8,0.4,2,"[ab]","E","NA",10,70,1698243141672,"614f697a16e2e5759e1f4b3e"
"9","p1",9,0.4,2,"[ab]","E","NA",10,80,1698243142989,"614f697a16e2e5759e1f4b3e"
"10","p1",10,0.4,2,"[ab]","E","NA",10,90,1698243144273,"614f697a16e2e5759e1f4b3e"
"11","p2",1,0.4,2,"a-d","F","1",0,0,1698243159123,"614f697a16e2e5759e1f4b3e"
"12","p2",2,0.4,2,"[ad]","E","NA",10,10,1698243160905,"614f697a16e2e5759e1f4b3e"
"13","p2",3,0.4,2,"[ad]","E","NA",10,20,1698243162189,"614f697a16e2e5759e1f4b3e"
"14","p2",4,0.4,2,"[ad]","E","NA",10,30,1698243163255,"614f697a16e2e5759e1f4b3e"
"15","p2",5,0.4,2,"[ad]","E","NA",10,40,1698243164223,"614f697a16e2e5759e1f4b3e"
"16","p2",6,0.4,2,"[ad]","E","NA",10,50,1698243165523,"614f697a16e2e5759e1f4b3e"
"17","p2",7,0.4,2,"[ad]","E","NA",10,60,1698243166690,"614f697a16e2e5759e1f4b3e"
"18","p2",8,0.4,2,"[ad]","E","NA",10,70,1698243167922,"614f697a16e2e5759e1f4b3e"
"19","p2",9,0.4,2,"[ad]","E","NA",10,80,1698243168973,"614f697a16e2e5759e1f4b3e"
"20","p2",10,0.4,2,"[ad]","E","NA",10,90,1698243170124,"614f697a16e2e5759e1f4b3e"
"21","t1",1,0.8,2,"a-c","F","0",0,0,1698243179473,"614f697a16e2e5759e1f4b3e"
"22","t1",2,0.8,2,"b","E","NA",5,5,1698243181522,"614f697a16e2e5759e1f4b3e"
"23","t1",3,0.8,2,"e-f","F","0",0,5,1698243184772,"614f697a16e2e5759e1f4b3e"
"24","t1",4,0.8,2,"c-d","F","1",0,5,1698243187155,"614f697a16e2e5759e1f4b3e"
"25","t1",5,0.8,2,"[cd]","E","NA",10,15,1698243189039,"614f697a16e2e5759e1f4b3e"
"26","t1",6,0.8,2,"[cd]","E","NA",10,25,1698243190123,"614f697a16e2e5759e1f4b3e"
"27","t1",7,0.8,2,"[cd]","E","NA",10,35,1698243191440,"614f697a16e2e5759e1f4b3e"
"28","t1",8,0.8,2,"[cd]","E","NA",10,45,1698243192506,"614f697a16e2e5759e1f4b3e"
"29","t1",9,0.8,2,"[cd]","E","NA",10,55,1698243193871,"614f697a16e2e5759e1f4b3e"
"30","t1",10,0.8,2,"[cd]","E","NA",10,65,1698243195155,"614f697a16e2e5759e1f4b3e"
