prior,Switch Point (Mean),Switch Point (Std.),Total Reward (Mean),Total Reward (Std.),Prob Square (Mean),Prob Square (Std.),Prob Circle (Mean),Prob Circle (Std.),Prob Cross (Mean),Probability Cross (Std.)
1,5.5428,1.1393410243631945,106.9427,45.65437162939468,0.6071907142857143,0.15113338827402592,0.3987705952380952,0.1265288996672914,0.38001595238095237,0.13266139065535806
2,5.3717,0.9590782518175004,105.7478,43.075005986930314,0.5714961111111111,0.09919979201010629,0.43435583333333333,0.0859185699291397,0.4222980555555556,0.08965810121227032
3,5.3143,0.8529878479948494,106.4692,42.84464514640976,0.5556415623265624,0.07484224477192933,0.45087217893217896,0.0634999140285827,0.4423275685425685,0.06780872995841554
4,5.2825,0.8493326124603121,106.7659,44.399155686708376,0.5442959307359306,0.05987060263842107,0.46159697191697185,0.05163663318888106,0.4536808003108003,0.05457063313332242
5,5.2873,0.8347624768994373,106.5194,42.65747284637197,0.5373929882617383,0.050441426297980714,0.46746821345321343,0.042788485703921346,0.461509662004662,0.04641925309032478
6,5.2663,0.8560710226141145,105.8919,42.28880997066326,0.5311833993212669,0.04318145506048627,0.4730128030058178,0.03736616418521349,0.4672094567442362,0.039598640345332774
7,5.2694,0.8464604477050014,105.9851,43.036381016520274,0.5273771693326453,0.03790513758243118,0.4758750580495356,0.03251570678965722,0.4714462960096319,0.03482138685381319
8,5.284,0.8382208905927719,105.9197,42.67179091723252,0.5248022912003717,0.0335539032889195,0.47848808909528723,0.029108004742822307,0.4742258875352374,0.03140374199138162
9,5.2954,0.8375016303853311,105.4821,42.14414659830294,0.5221760447066283,0.03036822646282296,0.48011319157577736,0.026320076620695437,0.47703711313857766,0.02825559677595378
10,5.2848,0.8377106516653542,106.5488,42.300604637230165,0.5205915832935181,0.027850844326936755,0.4822321797477884,0.023764292326121855,0.47963119555806516,0.025678862527252665
