prior,Switch Point (Mean),Switch Point (Std.),Total Reward (Mean),Total Reward (Std.),Prob Square (Mean),Prob Square (Std.),Prob Circle (Mean),Prob Circle (Std.),Prob Cross (Mean),Probability Cross (Std.)
1,5.7964,1.4452528898402373,197.5205,124.94061707679182,0.6318296825396825,0.19144771935078692,0.41624559523809523,0.08222081187457764,0.40569924603174606,0.08297716513826661
2,6.0097,0.9596343052434002,197.0437,124.45665886686659,0.6149773701298702,0.1402733037481382,0.4459373773448773,0.055367896041721494,0.44017282828282833,0.055178449823860304
3,5.9596,0.760674505008717,193.9363,122.06201438549829,0.5961314774114774,0.11100514859858658,0.4596208152958153,0.04254592405653742,0.4561368578643578,0.04171877138106939
4,5.8727,0.6808385007521328,195.144,121.83595554681887,0.5831541752691752,0.09251381367160165,0.4689685542235542,0.03391491744736356,0.4661189776889777,0.033426711087087196
5,5.7912,0.5863761111218383,193.7959,120.18400252378167,0.5716087495592643,0.07884885539892413,0.4739824696137196,0.028090497607625893,0.4723974987512487,0.027699336581866317
6,5.6988,0.45880236481626385,191.2724,113.60627815787171,0.5630235097500539,0.0681289203188768,0.4779942213423831,0.024193123428506817,0.47600646161028515,0.02375185523135199
7,5.6948,0.4605151109537473,189.8327,112.13960691858144,0.5554995239938081,0.061278611453798745,0.48077373882008945,0.02134142910687795,0.47924330839353285,0.020841331448370855
8,5.6962,0.4599203329613369,189.2128,111.75003500309214,0.5504299716090584,0.054565063802701506,0.482811204169068,0.019126219227853698,0.48142727674801983,0.01844128731394513
9,5.7,0.45828048409266725,191.0396,112.21294402305182,0.5469397924653531,0.05002332597841824,0.4847999063617542,0.017262163770975145,0.4834755367668182,0.0165559011267103
10,5.6895,0.4627214725038285,189.7419,113.35289309156245,0.5423430193357367,0.04647996728146731,0.48607447120994945,0.01577709596204656,0.4849372061416844,0.015135622241021275
