high_p,w,expert_switch_point,sim_switch_point,expert_optimal_reward,sim_total_rewards
0.5,1.2,0,0.0,100.0,100.0
0.5,1.5,5,5.293,152.587890625,105.7267
0.5,2.0,7,7.3201,512.578125,261.541
0.5,2.5,8,7.9877,1759.2776489257812,759.5728
0.5,3.0,8,8.3216,5120.0,1975.332
0.6,1.2,1,0.0,100.80000000000001,100.0
0.6,1.5,6,5.4359,193.07235999999995,125.9052
0.6,2.0,8,7.4639,858.9934592,427.934
0.6,2.5,8,8.0222,3396.7126082000004,1419.9033
0.6,3.0,9,8.4782,12072.692177919995,4886.796
0.7,1.2,2,0.0,103.96799999999999,100.0
0.7,1.5,7,5.6234,245.1645281953123,155.1811
0.7,2.0,8,7.6174,1395.1514881999997,699.325
0.7,2.5,9,8.0782,6394.178406132052,2737.6798
0.7,3.0,9,8.6313,26418.07540223997,11409.299
0.8,1.2,3,0.0,109.26271999999997,100.0
0.8,1.5,7,5.8123,316.2405120000002,192.6577
0.8,2.0,8,7.7451,2203.9921152000006,1130.403
0.8,2.5,9,8.1837,12072.692177919998,5444.149
0.8,3.0,9,8.7586,54295.03678976005,23345.82
0.9,1.2,4,0.0,116.32666560000001,100.0
0.9,1.5,7,6.0207,404.2939759921876,242.6166
0.9,2.0,8,7.8373,3396.7126082000004,1778.115
0.9,2.5,9,8.3237,21858.01705278842,9669.0205
0.9,3.0,9,8.8425,105784.55953408005,47077.523
